Title,Author,Series,Genre,Subgenre,readability,grammar,polish,prose,pacing,overall_score,confidence,review_count,flags,key_phrases,scoring_status
Haunting Adeline,H.D. Carlton,Cat and Mouse,Romance,Dark Romance,,,,,,,0,0,scoring_error: 401 Client Error: Unauthorized for url: https://openrouter.ai/api/v1/chat/completions,,error
Hunting Adeline,H.D. Carlton,Cat and Mouse,Romance,Dark Romance,,,,,,,0,0,scoring_error: 401 Client Error: Unauthorized for url: https://openrouter.ai/api/v1/chat/completions,,error
Butcher & Blackbird,Brynne Weaver,Ruinous Love,Romance,Dark Romance,,,,,,,0,0,scoring_error: 401 Client Error: Unauthorized for url: https://openrouter.ai/api/v1/chat/completions,,error
